"Cole, Tom [Rep.-R-OK-4]",5
"Neguse, Joe [Rep.-D-CO-2]",5
"Conaway, K. Michael [Rep.-R-TX-11]",5
"Fischer, Deb [Sen.-R-NE]",5
"Rush, Bobby L. [Rep.-D-IL-1]",5
"LoBiondo, Frank A. [Rep.-R-NJ-2]",5
"Denham, Jeff [Rep.-R-CA-10]",5
"Wagner, Ann [Rep.-R-MO-2]",5
"Larson, John B. [Rep.-D-CT-1]",5
"Solis, Hilda L. [Rep.-D-CA-32]",5
"Reichert, David G. [Rep.-R-WA-8]",5
"\"Scott, Robert C. \"\"Bobby\"\" [Rep.-D-VA-3]\"",5
"Hastings, Doc [Rep.-R-WA-4]",5
"Luria, Elaine G. [Rep.-D-VA-2]",5
"Cicilline, David N. [Rep.-D-RI-1]",5
"Knight, Stephen [Rep.-R-CA-25]",5
"Daschle, Thomas A. [Sen.-D-SD]",5
"Gerlach, Jim [Rep.-R-PA-6]",5
"Davis, Rodney [Rep.-R-IL-13]",5
"Burgess, Michael C. [Rep.-R-TX-26]",5
"Gallegly, Elton [Rep.-R-CA-24]",5
"Warner, Mark R. [Sen.-D-VA]",5
"Bustos, Cheri [Rep.-D-IL-17]",5
"Shimkus, John [Rep.-R-IL-20]",5
"Combest, Larry [Rep.-R-TX-19]",5
"Khanna, Ro [Rep.-D-CA-17]",5
"Vitter, David [Sen.-R-LA]",5
"Murtha, John P. [Rep.-D-PA-12]",5
"Taylor, Charles H. [Rep.-R-NC-11]",5
"Barletta, Lou [Rep.-R-PA-11]",5
"Horn, Stephen [Rep.-R-CA-38]",5
"Hollings, Ernest F. [Sen.-D-SC]",5
"Soto, Darren [Rep.-D-FL-9]",4
"Lamborn, Doug [Rep.-R-CO-5]",4
"McClintock, Tom [Rep.-R-CA-4]",4
"Grijalva, Ra��l M. [Rep.-D-AZ-7]",4
"Baldwin, Tammy [Sen.-D-WI]",4
"Brownback, Sam [Sen.-R-KS]",4
"Hinojosa, Ruben [Rep.-D-TX-15]",4
"Scott, Tim [Sen.-R-SC]",4
"McMorris Rodgers, Cathy [Rep.-R-WA-5]",4
"Armey, Richard K. [Rep.-R-TX-26]",4
"Lofgren, Zoe [Rep.-D-CA-16]",4
"Yarmuth, John A. [Rep.-D-KY-3]",4
"Comstock, Barbara [Rep.-R-VA-10]",4
"Pascrell, Bill, Jr. [Rep.-D-NJ-9]",4
"Dent, Charles W. [Rep.-R-PA-15]",4
"Heck, Joseph J. [Rep.-R-NV-3]",4
"Barton, Joe [Rep.-R-TX-6]",4
"Walberg, Tim [Rep.-R-MI-7]",4
"Lewis, Jerry [Rep.-R-CA-40]",4
"Underwood, Robert A. [Del.-D-GU-At Large]",4
"Herrera Beutler, Jaime [Rep.-R-WA-3]",4
"Gallegly, Elton [Rep.-R-CA-23]",4
"Velazquez, Nydia M. [Rep.-D-NY-7]",4
"Tillis, Thomas [Sen.-R-NC]",4
"Shuster, Bud [Rep.-R-PA-9]",4
"Post Office Building\"\".\"",4
"Burr, Richard [Rep.-R-NC-5]",4
"Lynch, Stephen F. [Rep.-D-MA-8]",4
"Allen, George [Sen.-R-VA]",4
"Doggett, Lloyd [Rep.-D-TX-25]",4
"Moran, James P. [Rep.-D-VA-8]",4
"Pearce, Stevan [Rep.-R-NM-2]",4
"Cox, Christopher [Rep.-R-CA-47]",4
"Warner, John [Sen.-R-VA]",4
"Braun, Mike [Sen.-R-IN]",4
"Reed, Tom [Rep.-R-NY-23]",4
"Feingold, Russell D. [Sen.-D-WI]",4
"Bost, Mike [Rep.-R-IL-12]",4
"Roemer, Tim [Rep.-D-IN-3]",4
"Pelosi, Nancy [Rep.-D-CA-8]",4
"Kennedy, Patrick J. [Rep.-D-RI-1]",4
"Faleomavaega, Eni F. H. [Del.-D-AS-At Large]",4
"Bishop, Sanford D., Jr. [Rep.-D-GA-2]",4
"Lincoln, Blanche L. [Sen.-D-AR]",4
"Brown, Sherrod [Rep.-D-OH-13]",4
"Green, Mark [Rep.-R-WI-8]",4
"Cortez Masto, Catherine [Sen.-D-NV]",4
"Gutierrez, Luis V. [Rep.-D-IL-4]",4
"Johnson, Bill [Rep.-R-OH-6]",4
"Nickles, Don [Sen.-R-OK]",4
"Kind, Ron [Rep.-D-WI-3]",4
"Meehan, Patrick [Rep.-R-PA-7]",4
"Shelby, Richard C. [Sen.-R-AL]",4
"Chafee, John H. [Sen.-R-RI]",4
"Neal, Richard E. [Rep.-D-MA-1]",4
"Graham, Bob [Sen.-D-FL]",4
"Ros-Lehtinen, Ileana [Rep.-R-FL-27]",4
"Miller, Candice S. [Rep.-R-MI-10]",4
"Edwards, Chet [Rep.-D-TX-17]",4
"Biggert, Judy [Rep.-R-IL-13]",4
"Thompson, Mike [Rep.-D-CA-5]",4
"Jones, Walter B., Jr. [Rep.-R-NC-3]",4
"Graham, Lindsey [Sen.-R-SC]",4
"Knollenberg, Joe [Rep.-R-MI-9]",4
"Radanovich, George [Rep.-R-CA-19]",4
"Baca, Joe [Rep.-D-CA-43]",4
"Brown, Corrine [Rep.-D-FL-3]",4
"Collins, Chris [Rep.-R-NY-27]",4
"Hefley, Joel [Rep.-R-CO-5]",4
"Mullin, Markwayne [Rep.-R-OK-2]",4
"Jindal, Bobby [Rep.-R-LA-1]",4
"Bono, Mary [Rep.-R-CA-45]",4
"Crane, Philip M. [Rep.-R-IL-8]",4
"Dicks, Norman D. [Rep.-D-WA-6]",4
"Flake, Jeff [Sen.-R-AZ]",4
"Shimkus, John [Rep.-R-IL-19]",4
"Heitkamp, Heidi [Sen.-D-ND]",4
"McCarthy, Carolyn [Rep.-D-NY-4]",4
"Kolbe, Jim [Rep.-R-AZ-5]",4
"Nolan, Richard M. [Rep.-D-MN-8]",4
"Connolly, Gerald E. [Rep.-D-VA-11]",4
"Rahall, Nick J., II [Rep.-D-WV-3]",4
"Conrad, Kent [Sen.-D-ND]",4
"Stearns, Cliff [Rep.-R-FL-6]",4
"Wittman, Robert J. [Rep.-R-VA-1]",4
"Carnahan, Russ [Rep.-D-MO-3]",4
"Kaptur, Marcy [Rep.-D-OH-9]",3
"Boustany, Charles W., Jr. [Rep.-R-LA-7]",3
"Hagel, Chuck [Sen.-R-NE]",3
